label,message
spam,"Ưu đãi đặc biệt hôm nay! Mua áo thun giảm 50%, số lượng có hạn."
spam,"Siêu khuyến mãi! Mua giày thể thao ngay hôm nay để nhận ưu đãi 30%."
spam,"Cơ hội mua áo khoác giá cực tốt, giảm 70% trong hôm nay."
spam,"Flash Sale! Quần jean đang được giảm 50%, đặt mua ngay."
spam,"Khuyến mãi cực sốc! Mua túi xách hôm nay được giảm 40%."
spam,"Đừng bỏ lỡ! Mua điện thoại nhận ưu đãi giảm 20% và miễn phí vận chuyển."
spam,"Ưu đãi dành riêng cho bạn: mua laptop với giá giảm 30%."
spam,"Mua tai nghe ngay để nhận mã giảm giá 50% hôm nay."
spam,"Chương trình ưu đãi lớn! Điện thoại đồng loạt giảm 40%."
spam,"Giá sốc hôm nay! Mua đồng hồ với giá ưu đãi giảm 60%."
spam,"Khuyến mãi cuối tuần: mua giày sneaker giảm 50%, nhanh tay đặt hàng."
spam,"Săn sale ngay! Áo sơ mi đang có ưu đãi giảm 30% trong thời gian giới hạn."
spam,"Ưu đãi mua sắm hôm nay: giảm 20% cho balo."
spam,"Mua váy thời trang ngay để nhận ưu đãi đặc biệt giảm 40%!"
spam,"Deal cực hời! Máy tính bảng giảm 50%, đặt hàng ngay hôm nay."
spam,"Mua ngay hôm nay để nhận ưu đãi giảm giá 70%."
spam,"Khuyến mãi đặc biệt, mua sản phẩm bất kỳ được giảm 30%."
spam,"Siêu sale hôm nay, rất nhiều sản phẩm đang được ưu đãi."
spam,"Mua 2 sản phẩm nhận ngay ưu đãi giảm 50%."
spam,"Đặt hàng ngay hôm nay để nhận mã ưu đãi đặc biệt."
ham,"Hôm nay bạn có đi học không?"
ham,"Chiều nay nhớ gửi cho mình bài tập nhé."
ham,"Mai chúng ta gặp nhau lúc 8 giờ sáng."
ham,"Bạn đã làm xong báo cáo môn học máy chưa?"
ham,"Tối nay về nhà ăn cơm nhé."
ham,"Mình đang ở thư viện, khi nào đến thì gọi mình."
ham,"Nhớ mang tài liệu cho buổi học ngày mai."
ham,"Bạn có thể gửi cho mình file dự án được không?"
ham,"Ngày mai lớp mình học ở phòng A302."
ham,"Mình sẽ gửi bài tập sau khi hoàn thành."
ham,"Bạn đang làm phần nào của dự án vậy?"
ham,"Chiều nay chúng ta họp nhóm lúc 3 giờ."
ham,"Mình đã nhận được tài liệu bạn gửi."
ham,"Khi nào rảnh thì gọi lại cho mình nhé."
ham,"Tuần này chúng ta cần hoàn thành báo cáo."
ham,"Bạn nhớ mang laptop đến lớp ngày mai nhé."
ham,"Mình vừa gửi tài liệu qua nhóm lớp."
ham,"Chiều nay bạn có rảnh không?"
ham,"Mai gặp nhau ở trường nhé."
ham,"Mình đang làm bài tập, lát nữa trả lời bạn."
